Generation,ID,Pokemon,Abilities,BaseExperience,Height,Moves,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Type1,Type2,Weight
Generation.I,1,Bulbasaur,"overgrow, chlorophyll (Hidden)",64,7,"razor-wind, swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, sludge, skull-bash, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, giga-drain, endure, charm, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, ingrain, knock-off, secret-power, grass-whistle, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide",45,49,49,65,65,45,grass,poison,69
Generation.I,2,Ivysaur,"overgrow, chlorophyll (Hidden)",142,10,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, giga-drain, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, knock-off, secret-power, bullet-seed, natural-gift, worry-seed, seed-bomb, energy-ball, captivate, grass-knot, venoshock, round, echoed-voice, grass-pledge, work-up, confide",60,62,63,80,80,60,grass,poison,130
Generation.I,3,Venusaur,"overgrow, chlorophyll (Hidden)",236,20,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, hyper-beam, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, earthquake, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, knock-off, secret-power, bullet-seed, block, frenzy-plant, natural-gift, worry-seed, seed-bomb, energy-ball, giga-impact, rock-climb, captivate, grass-knot, venoshock, round, echoed-voice, grass-pledge, bulldoze, work-up, petal-blizzard, confide",80,82,83,100,100,80,grass,poison,1000
Generation.I,4,Charmander,"blaze, solar-power (Hidden)",62,6,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, brick-break, secret-power, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, inferno, fire-pledge, work-up, confide, power-up-punch",39,52,43,60,50,39,fire,None,85
Generation.I,5,Charmeleon,"blaze, solar-power (Hidden)",142,11,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, take-down, double-edge, leer, growl, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, mud-slap, outrage, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, rock-smash, heat-wave, will-o-wisp, facade, focus-punch, brick-break, secret-power, overheat, rock-tomb, aerial-ace, dragon-claw, natural-gift, fling, dragon-pulse, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, inferno, fire-pledge, work-up, confide, power-up-punch",58,64,58,80,65,58,fire,None,190
Generation.I,6,Charizard,"blaze, solar-power (Hidden)",240,17,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, fly, mega-kick, headbutt, body-slam, take-down, double-edge, leer, growl, roar, ember, flamethrower, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, dragon-rage, fire-spin, earthquake, fissure, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, mud-slap, outrage, sandstorm, endure, swagger, fury-cutter, steel-wing, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, twister, sunny-day, rock-smash, heat-wave, will-o-wisp, facade, focus-punch, brick-break, secret-power, blast-burn, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, roost, natural-gift, tailwind, fling, flare-blitz, air-slash, dragon-pulse, focus-blast, giga-impact, shadow-claw, fire-fang, defog, captivate, ominous-wind, hone-claws, flame-burst, flame-charge, round, echoed-voice, sky-drop, incinerate, inferno, fire-pledge, bulldoze, dragon-tail, work-up, confide, power-up-punch, brutal-swing",78,84,78,109,85,78,fire,flying,905
Generation.I,7,Squirtle,"torrent, rain-dish (Hidden)",63,5,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, confusion, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, substitute, snore, curse, flail, protect, mud-slap, foresight, icy-wind, endure, rollout, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, brick-break, yawn, refresh, secret-power, dive, mud-sport, rock-tomb, water-spout, muddy-water, iron-defense, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, water-pledge, work-up, confide, power-up-punch",44,48,65,50,64,44,water,None,90
Generation.I,8,Wartortle,"torrent, rain-dish (Hidden)",142,10,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, reflect, bide, waterfall, skull-bash, bubble, rest, substitute, snore, curse, protect, mud-slap, icy-wind, endure, rollout, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, rock-smash, whirlpool, hail, facade, focus-punch, brick-break, secret-power, dive, rock-tomb, iron-defense, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-tail, dragon-pulse, zen-headbutt, captivate, round, scald, water-pledge, work-up, confide, power-up-punch",59,63,80,65,80,59,water,None,225
Generation.I,9,Blastoise,"torrent, rain-dish (Hidden)",239,16,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, protect, mud-slap, icy-wind, outrage, endure, rollout, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, rock-smash, whirlpool, hail, facade, focus-punch, brick-break, secret-power, dive, hydro-cannon, rock-tomb, signal-beam, iron-defense, water-pulse, gyro-ball, brine, natural-gift, fling, dark-pulse, aqua-tail, dragon-pulse, focus-blast, giga-impact, avalanche, zen-headbutt, flash-cannon, rock-climb, captivate, smack-down, round, scald, water-pledge, bulldoze, dragon-tail, work-up, confide, power-up-punch",79,83,100,85,105,79,water,None,855
Generation.I,10,Caterpie,"shield-dust, run-away (Hidden)",39,3,"tackle, string-shot, snore, bug-bite, electroweb",45,30,35,20,20,45,bug,None,29
